mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.4897529125213622,0.34461681652316456,0.26429545879364014,0.13708040069872596,50000.0,{'ccp_alpha': 50000.0},-4374.5747515693565,-4969.2004858026085,-5301.144205543371,-4701.952416257872,-5254.83963909276,-4225.130284341067,-5243.218479674781,-5414.1080990176715,-4040.9299288710613,-5468.471918815595,-4899.357020898615,500.5620698986126,951
1.3740330934524536,0.28418734279584873,0.22960224151611328,0.09363530270522893,51000.0,{'ccp_alpha': 51000.0},-4372.430242755234,-4968.0163273464495,-5300.671880907925,-4699.359784633757,-5254.109280307244,-4225.205897045727,-5242.322435747895,-5413.751068729087,-4038.662546060802,-5468.044277920791,-4898.257374145492,501.01516343560485,950
1.387500524520874,0.23991851014824334,0.26465227603912356,0.1320950983018579,52000.0,{'ccp_alpha': 52000.0},-4370.559665844744,-4966.736120604557,-5300.579960695743,-4698.969973021681,-5254.676745384493,-4224.837956334292,-5240.862702842266,-5410.38301942321,-4036.6776129148,-5467.4545774610815,-4897.173833452686,501.11935812339664,949
1.5023618936538696,0.19624524652798034,0.2153015613555908,0.1672466283388666,53000.0,{'ccp_alpha': 53000.0},-4367.490219713055,-4964.339716811654,-5300.796589199997,-4696.732420310104,-5254.448599456748,-4224.6542801672,-5240.3353901162245,-5409.647972035098,-4031.947649034503,-5466.803047089332,-4895.719588393392,502.1507864394553,948
1.4130447626113891,0.3390019408918598,0.22593729496002196,0.16769537585352814,54000.0,{'ccp_alpha': 54000.0},-4366.887642236577,-4963.152097167549,-5299.399323960454,-4694.465576871988,-5255.33694925162,-4222.883638705462,-5240.466354779315,-5410.285547457658,-4028.708869912672,-5464.675006065056,-4894.626100640836,502.86559767642166,947
1.3935831308364868,0.28099422687493925,0.2927379131317139,0.275915688367658,55000.0,{'ccp_alpha': 55000.0},-4363.742233062163,-4962.720111691957,-5298.623624837816,-4693.366386091453,-5257.417936812915,-4224.338312882736,-5239.187017587701,-5408.789285357866,-4025.808915759015,-5463.523492717515,-4893.751731680114,503.2557487517965,946
1.2583395481109618,0.15682457525294355,0.2154168128967285,0.11185721634685017,56000.0,{'ccp_alpha': 56000.0},-4360.76290820429,-4957.710233011968,-5297.342868853779,-4692.809468846277,-5256.539496443519,-4221.826501376044,-5237.496538115932,-5409.318330612346,-4020.854811489709,-5462.003581838337,-4891.66647387922,504.31289668153454,945
1.354621958732605,0.27353300429627403,0.2499795913696289,0.1523783155696569,57000.0,{'ccp_alpha': 57000.0},-4359.574268167163,-4954.290171650876,-5296.025139076304,-4691.986839992035,-5255.929129941173,-4224.458305879197,-5237.334632865554,-5409.323595147878,-4017.8244005790016,-5459.752194993887,-4890.649867829307,504.1866859925207,944
1.3478050231933594,0.30123871384891987,0.2412937641143799,0.13353107934743252,58000.0,{'ccp_alpha': 58000.0},-4357.46033001533,-4951.139730976905,-5293.918576623585,-4690.354755044403,-5254.231776192777,-4227.362163887638,-5234.898531962939,-5408.124922207838,-4013.5318337884078,-5456.649184785316,-4888.767180548513,503.8630443630267,943
1.4371995449066162,0.24339014112252008,0.26491632461547854,0.12614492564271118,59000.0,{'ccp_alpha': 59000.0},-4353.678860497541,-4949.1641048801885,-5292.415227490408,-4690.108113123283,-5254.134479873856,-4226.656562467254,-5234.4723208338155,-5407.1248377422435,-4005.7095040710697,-5453.320539112893,-4886.678455009255,505.066593162282,942
1.4392862796783448,0.26700612794245243,0.19336435794830323,0.07868322015317283,60000.0,{'ccp_alpha': 60000.0},-4349.713362167495,-4945.950334766344,-5290.245236740328,-4688.008183930023,-5253.991095949135,-4226.591785245872,-5233.175801523352,-5408.476439720163,-4003.9554438005093,-5451.001256897993,-4885.110894074122,505.4485921582259,941
